Hugo_Symbol	TCGA-AA-3977-01	TCGA-AA-3560-01	TCGA-AA-3543-01	TCGA-AA-3695-01	TCGA-AA-3875-01	TCGA-AA-3684-01	TCGA-AA-3531-01	TCGA-AA-3532-01	TCGA-A6-2678-01	TCGA-AA-3861-01	TCGA-A6-2677-01	TCGA-AA-3842-01	TCGA-AA-3848-01	TCGA-AA-3521-01	TCGA-AA-3544-01	TCGA-AA-3520-01	TCGA-AA-3538-01	TCGA-A6-2672-01	TCGA-AA-3856-01	TCGA-AA-3666-01	TCGA-AA-3858-01	TCGA-AA-3870-01	TCGA-AA-3679-01	TCGA-AA-3516-01	TCGA-AA-3530-01	TCGA-AA-3524-01	TCGA-AA-3681-01	TCGA-AA-3542-01	TCGA-AA-3548-01	TCGA-A6-2676-01	TCGA-AA-3525-01	TCGA-A6-2670-01	TCGA-AA-3837-01	TCGA-AA-3970-01	TCGA-AA-3522-01	TCGA-AA-3866-01	TCGA-AA-3854-01	TCGA-AA-3833-01	TCGA-AA-3685-01	TCGA-AA-3675-01	TCGA-AA-3519-01	TCGA-AA-3814-01	TCGA-AA-3852-01	TCGA-AA-3552-01	TCGA-A6-3808-01	TCGA-AA-3860-01	TCGA-AA-3850-01	TCGA-AA-3680-01	TCGA-AA-3692-01	TCGA-A6-3810-01	TCGA-AA-3529-01	TCGA-AA-3715-01	TCGA-AA-3877-01	TCGA-AA-3526-01	TCGA-AA-3976-01	TCGA-AA-3846-01	TCGA-AA-3982-01	TCGA-AA-3872-01	TCGA-AA-3941-01	TCGA-AA-3971-01	TCGA-AA-3696-01	TCGA-AA-3534-01	TCGA-AA-3939-01	TCGA-AA-3527-01	TCGA-AA-3867-01	TCGA-AA-3815-01	TCGA-AA-3553-01	TCGA-AA-3845-01	TCGA-AA-3955-01	TCGA-AA-3819-01	TCGA-AA-3518-01	TCGA-AA-3949-01	TCGA-A6-2674-01	TCGA-AA-3812-01	TCGA-AA-3869-01	TCGA-AA-3562-01	TCGA-AA-3956-01	TCGA-AA-3844-01	TCGA-AA-3818-01	TCGA-AA-3947-01	TCGA-AA-3514-01	TCGA-AA-3556-01	TCGA-AA-3831-01	TCGA-AA-3672-01	TCGA-A6-3809-01
hsa-miR-361-5p	6.82017896	8.41362793	7.14974712	7.30378075	7.33091688	7.37503943	7.45943162	7.54689446	7.37503943	7.54689446	7.73470962	6.857981	7.9068906	7.34872815	7.08746284	7.49984589	7.70735913	7.08746284	7.74146699	7.26678654	7.30378075	6.7548875	7.40939094	7.32192809	7.59245704	6.83289001	7.64385619	7.47573343	7.18982456	6.93073734	7.04439412	7.97727992	7.19967234	7.06608919	7.14974712	7.033423	6.32192809	6.65821148	7.22881869	7.6794801	7.85174904	7.33985	6.80735492	7.64385619	6.10852446	7.30378075	6.89481776	7.06608919	8.35314683	7.08746284	6.82017896	7.25738784	6.61470984	7.34872815	7.27612441	7.20945337	7.85174904	5.70043972	7.49984589	7.94251451	8.33985	7.27612441	7.11894107	6.68650053	7.56985561	6.94251451	7.62205182	7.01122726	7.06608919	7.40939094	6.89481776	6.53915881	8.18487534	6.95419631	7.60733031	8.06069593	7.33985	7.77478706	7.45121111	6.50779464	7.19967234	7.49984589	6.71424552	6.97727992	6.53915881
hsa-miR-361-3p	5.78135971	5.12928302	4.24792751	4	5.169925	5.357552	4.95419631	4.70043972	4.80735492	6.02236781	4	4.7548875	5.95419631	3.70043972	5.28540222	4.08746284	4.08746284	4	5.67242534	5.04439412	5.55458885	5.5849625	5.45943162	6.12928302	5.83289001	4.32192809	6.30378075	3.9068906	4.70043972	5	4	4.5849625	4.80735492	5.9068906	4.39231742	5.61470984	3.32192809	5.357552	5.55458885	4.64385619	5.42626475	4.80735492	5.28540222	5.42626475	4.169925	5.72792045	6.18982456	5.08746284	5.39231742	5.32192809	3.169925	5.357552	4.9068906	5.28540222	5.20945337	5.61470984	5.64385619	4.9068906	5.78135971	5.93073734	5.08746284	4.32192809	5.83289001	4.45943162	4.9068906	6.24792751	4.52356196	6.45943162	5.08746284	4.95419631	4.70043972	5.64385619	5.61470984	4.95419631	5.4918531	5.08746284	5.80735492	5.45943162	4.80735492	5.55458885	5.04439412	5.08746284	5.39231742	5.64385619	5.4918531
hsa-miR-32	4.52356196	4.45943162	2	4.95419631	5.12928302	3.5849625	4.32192809	3.169925	4.24792751	5.357552	3	5.357552	5.88264305	2.80735492	5.169925	3	4.52356196	1.5849625	6.10852446	4.08746284	5.24792751	5.12928302	5.28540222	3	6.28540222	3.5849625	4	4.64385619	4.64385619	1.5849625	3	3.9068906	4.45943162	6.79441587	2.80735492	5.32192809	4	4.24792751	4	1	4.5849625	4.95419631	5.72792045	4.70043972	3	5.42626475	4.52356196	3.80735492	4.32192809	5.04439412	3.45943162	4.169925	4.70043972	4	4.80735492	6.4918531	5.04439412	4.9068906	5.7548875	4.7548875	3.169925	4.64385619	5.93073734	3.45943162	4.64385619	6.32192809	4	6.74146699	4.45943162	4.70043972	3	3.32192809	3.70043972	4.70043972	6.12928302	4.24792751	4.52356196	5.88264305	4.5849625	5.08746284	4.24792751	3.80735492	4.70043972	4.5849625	5.28540222
hsa-miR-224	6.20945337	6.45943162	5.55458885	6.47573343	5.88264305	3.5849625	6.95419631	5.39231742	5.9068906	6.53915881	5.39231742	4.95419631	6.72792045	5.39231742	6.10852446	4.9068906	8.29920802	4.08746284	6.37503943	7.02236781	6.18982456	5.80735492	7.26678654	4.80735492	7.26678654	5.80735492	5.72792045	6.83289001	5.32192809	4.08746284	5.61470984	7.09803208	5.4918531	5.5849625	5.12928302	4.52356196	6.5849625	3	6.33985	6.70043972	7.70735913	6.55458885	5	5.72792045	2	6.74146699	4.64385619	5.55458885	6.89481776	4.7548875	6.47573343	3.169925	4.08746284	6.67242534	6.62935662	6.26678654	5.97727992	4.80735492	7.65821148	6.24792751	6.83289001	6.5849625	5.4918531	3.5849625	6.95419631	4.32192809	7.41785251	2.80735492	6.26678654	5.9068906	4.80735492	2.5849625	4.95419631	4.45943162	7.54689446	6.82017896	5.61470984	6.50779464	4.80735492	4.5849625	4.24792751	6.55458885	4.7548875	4.52356196	5.39231742
hsa-miR-550a	2	0	0	3.169925	0	0	0	0	1	2	0	4.857981	2.80735492	0	0	0	2	0	3	3.5849625	2.80735492	1.5849625	4.70043972	0	1.5849625	0	3.169925	0	0	1	0	0	0	2.80735492	1.5849625	1	1	1.5849625	4.857981	1	3.45943162	3.80735492	4.169925	0	0	4	0	2.32192809	3.169925	1	0	0	2	2	3	2.32192809	1	0	3	3	0	0	3.32192809	0	0	4	1	3.45943162	3.80735492	2.80735492	1	0	2	2.32192809	1	1.5849625	0	3.70043972	3.169925	1	0	1	1.5849625	5.357552	4.32192809
hsa-miR-629	7.47573343	7.84549005	7.87036472	6.04439412	7.15987134	7.15987134	7.82654849	7.41785251	7.56224242	6.87036472	6.98868469	7.08746284	6.84549005	6.70043972	7.96000193	7.97154355	7.70735913	7.77478706	7.19967234	7.4429435	6.4429435	5.88264305	7.15987134	7.62205182	6.10852446	7.59245704	7.33985	8.29462075	6.55458885	8.71767642	7.11894107	6.65821148	6.33985	6.857981	6.47573343	5.72792045	7	5.169925	7.09803208	7.60733031	7.10852446	6.42626475	6.55458885	7.82654849	5.08746284	6.24792751	7.169925	6.52356196	6.26678654	6.18982456	6.95419631	7.0768156	7.05528244	7.93073734	6.50779464	6.93073734	7.04439412	5.45943162	7.40939094	6.68650053	7.86418614	7.83289001	6.67242534	6.79441587	6.67242534	7.33091688	7.72792045	7.09803208	8.13442632	6.20945337	8.30833903	6.42626475	7.74146699	6.22881869	6.32192809	7.5849625	6.33985	6.357552	6.4429435	6.24792751	6.80735492	6.5849625	7.05528244	8.78463485	7.56985561
hsa-miR-629*	5.39231742	4.7548875	5.24792751	3.169925	4.169925	4.70043972	4.169925	4.45943162	4.857981	4.169925	3.169925	3.45943162	4.64385619	3.9068906	4	4.39231742	3.80735492	5.24792751	4.24792751	4.5849625	4.08746284	0	5.08746284	3.80735492	2.5849625	4.5849625	5.08746284	5.169925	4.169925	6.04439412	4.70043972	2.5849625	3.32192809	3.5849625	4.39231742	2	3.9068906	3.5849625	4.80735492	4.80735492	3.169925	4.39231742	4.169925	5	1.5849625	3.32192809	4.08746284	4.169925	3.32192809	1.5849625	4.45943162	4.45943162	4.169925	4.5849625	3.70043972	4.08746284	3.9068906	1	4.857981	3.45943162	4.80735492	3.9068906	3	3.5849625	1.5849625	3.80735492	4	4.39231742	4.5849625	3.70043972	5.24792751	3.70043972	4.32192809	3.32192809	3.9068906	4.64385619	4.08746284	3.9068906	2.80735492	2.80735492	3.5849625	4.169925	4.24792751	6.53915881	5.04439412
hsa-let-7a	13.34706766	13.23750875	13.26824957	13.24406646	13.69010713	13.44359111	13.42390377	13.56878743	13.52000474	13.26868819	13.71381608	12.95945865	13.53077209	13.56092985	13.4200918	13.52000474	13.69642424	13.41785251	13.84901407	13.77715256	13.65407656	12.88321604	13.55374927	13.97118427	13.32403987	13.11780541	13.55110741	13.29289676	13.2647358	13.22445395	13.11129871	13.58930003	13.53393803	13.24168529	13.32600808	12.96506276	13.37340896	13.25827158	13.69337805	14.3321065	13.20365389	13.29390267	13.68759439	13.58025857	12.81997946	13.50034397	13.4472124	13.31132259	13.93193785	13.36454508	13.27583351	13.77797443	13.11097261	13.5266215	13.20533508	12.96794671	13.57364719	12.86727874	13.79360331	13.35878854	14.04848687	13.50989869	13.29059489	13.24926163	13.3827591	13.28655776	13.33189664	13.67617748	12.95164899	13.82276997	13.14146856	13.16333519	13.4269199	13.18858885	13.51594618	13.54906266	13.4046094	13.34068465	13.32192809	13.36454508	13.48431942	13.27204652	13.39473063	13.38113734	13.32713156
hsa-let-7a-2*	2.32192809	2.32192809	2	2.80735492	2.80735492	3.45943162	0	3.169925	2	0	2.5849625	1.5849625	2.32192809	1.5849625	3.5849625	2.80735492	2.5849625	2	3.9068906	3.45943162	2.32192809	1.5849625	3.45943162	2.5849625	3	3.169925	2	2.5849625	2	1.5849625	0	4.45943162	4.08746284	1	2.80735492	3.169925	0	2	3.5849625	3	0	3.169925	3.5849625	2.5849625	3	3.32192809	2	2	2.5849625	4.169925	2	5.55458885	1.5849625	2	3.32192809	2	2.32192809	2.80735492	2	2	2.80735492	3.9068906	3.70043972	3.80735492	2.32192809	2.80735492	2	4.52356196	2	2.5849625	1.5849625	3.169925	4.32192809	3	2.80735492	2	3.169925	0	3.70043972	1.5849625	4.08746284	2.80735492	2	2.32192809	2.80735492
hsa-let-7b	14.02704206	13.56652978	13.75697323	13.41402451	13.41177578	14.06550028	13.47319838	13.28944258	13.3620808	13.08115052	12.70130646	13.30320995	13.47952767	14.16765335	14.01924322	14.07472685	13.87296339	14.14226664	13.59898297	14.20028561	14.33140684	12.88226093	13.95101145	14.30897889	12.72174005	13.58402294	13.78851443	13.52747701	13.58002297	13.45558409	13.0390904	13.16412127	13.8198797	13.33259606	13.36413466	12.73047014	13.14720492	13.26033152	14.47370575	14.91115789	13.08563843	13.54279006	13.99620865	13.8973728	13.77920636	13.87373247	12.87555739	13.41190815	13.48104257	13.56486399	13.42259043	14.31110969	13.61585949	14.16882879	13.81688365	12.99364606	13.60894781	13.84852514	14.67953508	12.93700593	14.16694763	13.16065931	13.86534664	13.62536639	13.10115498	13.58859753	13.17383326	13.6703243	13.90124403	13.38059635	13.26209485	12.72706956	14.07397416	13.37313704	12.82615121	13.93396722	13.82724345	13.23227101	13.16239133	12.90463462	13.74965996	13.54206454	13.45339926	13.80715364	13.72120602
